i1	i2	i3	sequence	generation	x1	x2	x3	compute	measure	probed	s1	s2	s3	s	bioproduct actual cost	consumer inertia	retrofit delay
0	0	0	1	0.0	0.0	0.0	0.0	False	False	True	0.0	0.0	0.0	0.0	5.0	0.1	1.0
0	0	67108864	3489	-1.0	0.0	0.0	0.0625	False	False	False					5.0	0.1	3.125
0	0	100663296	16823	-1.0	0.0	0.0	0.09375	False	False	False					5.0	0.1	4.1875
0	0	134217728	208	-1.0	0.0	0.0	0.125	False	False	False					5.0	0.1	5.25
0	0	268435456	62	-1.0	0.0	0.0	0.25	False	False	False					5.0	0.1	9.5
0	0	536870912	10	-1.0	0.0	0.0	0.5	False	False	False					5.0	0.1	18.0
0	0	603979776	20201	-1.0	0.0	0.0	0.5625	False	False	False					5.0	0.1	20.125
0	0	671088640	569	-1.0	0.0	0.0	0.625	False	False	False					5.0	0.1	22.25
0	0	738197504	3057	-1.0	0.0	0.0	0.6875	False	False	False					5.0	0.1	24.375
0	0	805306368	36	-1.0	0.0	0.0	0.75	False	False	False					5.0	0.1	26.5
0	0	939524096	1703	-1.0	0.0	0.0	0.875	False	False	False					5.0	0.1	30.75
0	0	1006632960	6902	-1.0	0.0	0.0	0.9375	False	False	False					5.0	0.1	32.875
0	0	1073741824	2	0.0	0.0	0.0	1.0	False	False	True	0.0	0.0	0.0	0.0	5.0	0.1	35.0
0	33554432	67108864	16824	-1.0	0.0	0.03125	0.0625	False	False	False					5.0	0.253125	3.125
0	33554432	100663296	16825	-1.0	0.0	0.03125	0.09375	False	False	False					5.0	0.253125	4.1875
0	33554432	134217728	16826	-1.0	0.0	0.03125	0.125	False	False	False					5.0	0.253125	5.25
0	67108864	0	3490	-1.0	0.0	0.0625	0.0	False	False	False					5.0	0.40625	1.0
0	67108864	67108864	3491	-1.0	0.0	0.0625	0.0625	False	False	False					5.0	0.40625	3.125
0	67108864	100663296	16827	-1.0	0.0	0.0625	0.09375	False	False	False					5.0	0.40625	4.1875
0	67108864	134217728	3492	-1.0	0.0	0.0625	0.125	False	False	False					5.0	0.40625	5.25
0	67108864	536870912	20202	-1.0	0.0	0.0625	0.5	False	False	False					5.0	0.40625	18.0
0	67108864	603979776	20203	-1.0	0.0	0.0625	0.5625	False	False	False					5.0	0.40625	20.125
0	67108864	671088640	3058	-1.0	0.0	0.0625	0.625	False	False	False					5.0	0.40625	22.25
0	67108864	704643072	4522	-1.0	0.0	0.0625	0.65625	False	False	False					5.0	0.40625	23.3125
0	67108864	738197504	3059	-1.0	0.0	0.0625	0.6875	False	False	False					5.0	0.40625	24.375
0	67108864	805306368	3060	-1.0	0.0	0.0625	0.75	False	False	False					5.0	0.40625	26.5
0	67108864	939524096	6903	-1.0	0.0	0.0625	0.875	False	False	False					5.0	0.40625	30.75
0	67108864	1006632960	6904	-1.0	0.0	0.0625	0.9375	False	False	False					5.0	0.40625	32.875
0	67108864	1073741824	6905	-1.0	0.0	0.0625	1.0	False	False	False					5.0	0.40625	35.0
0	100663296	671088640	4523	-1.0	0.0	0.09375	0.625	False	False	False					5.0	0.559375	22.25
0	100663296	704643072	4524	-1.0	0.0	0.09375	0.65625	False	False	False					5.0	0.559375	23.3125
0	100663296	738197504	4525	-1.0	0.0	0.09375	0.6875	False	False	False					5.0	0.559375	24.375
0	134217728	0	209	-1.0	0.0	0.125	0.0	False	False	False					5.0	0.7125	1.0
0	134217728	67108864	229	-1.0	0.0	0.125	0.0625	False	False	False					5.0	0.7125	3.125
0	134217728	134217728	210	-1.0	0.0	0.125	0.125	False	False	False					5.0	0.7125	5.25
0	134217728	201326592	5023	-1.0	0.0	0.125	0.1875	False	False	False					5.0	0.7125	7.375
0	134217728	268435456	211	-1.0	0.0	0.125	0.25	False	False	False					5.0	0.7125	9.5
0	134217728	536870912	570	-1.0	0.0	0.125	0.5	False	False	False					5.0	0.7125	18.0
0	134217728	570425344	3233	-1.0	0.0	0.125	0.53125	False	False	False					5.0	0.7125	19.0625
0	134217728	603979776	1107	-1.0	0.0	0.125	0.5625	False	False	False					5.0	0.7125	20.125
0	134217728	637534208	15516	-1.0	0.0	0.125	0.59375	False	False	False					5.0	0.7125	21.1875
0	134217728	671088640	571	-1.0	0.0	0.125	0.625	False	False	False					5.0	0.7125	22.25
0	134217728	704643072	4526	-1.0	0.0	0.125	0.65625	False	False	False					5.0	0.7125	23.3125
0	134217728	738197504	1474	-1.0	0.0	0.125	0.6875	False	False	False					5.0	0.7125	24.375
0	134217728	746586112	7816	-1.0	0.0	0.125	0.6953125	False	False	False					5.0	0.7125	24.640625
0	134217728	754974720	6327	-1.0	0.0	0.125	0.703125	False	False	False					5.0	0.7125	24.90625
0	134217728	771751936	2382	-1.0	0.0	0.125	0.71875	False	False	False					5.0	0.7125	25.4375
0	134217728	805306368	572	-1.0	0.0	0.125	0.75	False	False	False					5.0	0.7125	26.5
0	134217728	872415232	4262	-1.0	0.0	0.125	0.8125	False	False	False					5.0	0.7125	28.625
0	134217728	905969664	12489	-1.0	0.0	0.125	0.84375	False	False	False					5.0	0.7125	29.6875
0	134217728	939524096	1704	-1.0	0.0	0.125	0.875	False	False	False					5.0	0.7125	30.75
0	134217728	1006632960	2530	-1.0	0.0	0.125	0.9375	False	False	False					5.0	0.7125	32.875
0	134217728	1073741824	1705	-1.0	0.0	0.125	1.0	False	False	False					5.0	0.7125	35.0
0	142606336	738197504	7817	-1.0	0.0	0.1328125	0.6875	False	False	False					5.0	0.75078125	24.375
0	142606336	746586112	7818	-1.0	0.0	0.1328125	0.6953125	False	False	False					5.0	0.75078125	24.640625
0	142606336	754974720	7819	-1.0	0.0	0.1328125	0.703125	False	False	False					5.0	0.75078125	24.90625
0	150994944	738197504	6328	-1.0	0.0	0.140625	0.6875	False	False	False					5.0	0.7890625	24.375
0	150994944	746586112	7820	-1.0	0.0	0.140625	0.6953125	False	False	False					5.0	0.7890625	24.640625
0	150994944	754974720	6329	-1.0	0.0	0.140625	0.703125	False	False	False					5.0	0.7890625	24.90625
0	150994944	771751936	6330	-1.0	0.0	0.140625	0.71875	False	False	False					5.0	0.7890625	25.4375
0	167772160	536870912	3234	-1.0	0.0	0.15625	0.5	False	False	False					5.0	0.865625	18.0
0	167772160	570425344	3235	-1.0	0.0	0.15625	0.53125	False	False	False					5.0	0.865625	19.0625
0	167772160	603979776	3236	-1.0	0.0	0.15625	0.5625	False	False	False					5.0	0.865625	20.125
0	167772160	637534208	15517	-1.0	0.0	0.15625	0.59375	False	False	False					5.0	0.865625	21.1875
0	167772160	671088640	15518	-1.0	0.0	0.15625	0.625	False	False	False					5.0	0.865625	22.25
0	167772160	738197504	2383	-1.0	0.0	0.15625	0.6875	False	False	False					5.0	0.865625	24.375
0	167772160	754974720	6331	-1.0	0.0	0.15625	0.703125	False	False	False					5.0	0.865625	24.90625
0	167772160	771751936	2384	-1.0	0.0	0.15625	0.71875	False	False	False					5.0	0.865625	25.4375
0	167772160	805306368	2385	-1.0	0.0	0.15625	0.75	False	False	False					5.0	0.865625	26.5
0	167772160	872415232	12490	-1.0	0.0	0.15625	0.8125	False	False	False					5.0	0.865625	28.625
0	167772160	905969664	12491	-1.0	0.0	0.15625	0.84375	False	False	False					5.0	0.865625	29.6875
0	167772160	939524096	12492	-1.0	0.0	0.15625	0.875	False	False	False					5.0	0.865625	30.75
0	201326592	0	230	-1.0	0.0	0.1875	0.0	False	False	False					5.0	1.01875	1.0
0	201326592	16777216	19501	-1.0	0.0	0.1875	0.015625	False	False	False					5.0	1.01875	1.53125
