i1	i2	i3	sequence	generation	x1	x2	x3	compute	measure	probed	s1	s2	s3	s	bioproduct actual cost	consumer inertia	retrofit delay
0	0	0	1	0.0	0.0	0.0	0.0	False	False	True	0.0	0.0	0.0	0.0	5.0	0.1	1.0
0	0	134217728	208	-1.0	0.0	0.0	0.125	False	False	False					5.0	0.1	5.25
0	0	268435456	62	-1.0	0.0	0.0	0.25	False	False	False					5.0	0.1	9.5
0	0	536870912	10	-1.0	0.0	0.0	0.5	False	False	False					5.0	0.1	18.0
0	0	671088640	569	-1.0	0.0	0.0	0.625	False	False	False					5.0	0.1	22.25
0	0	738197504	3057	-1.0	0.0	0.0	0.6875	False	False	False					5.0	0.1	24.375
0	0	805306368	36	-1.0	0.0	0.0	0.75	False	False	False					5.0	0.1	26.5
0	0	939524096	1703	-1.0	0.0	0.0	0.875	False	False	False					5.0	0.1	30.75
0	0	1073741824	2	0.0	0.0	0.0	1.0	False	False	True	0.0	0.0	0.0	0.0	5.0	0.1	35.0
0	67108864	671088640	3058	-1.0	0.0	0.0625	0.625	False	False	False					5.0	0.40625	22.25
0	67108864	738197504	3059	-1.0	0.0	0.0625	0.6875	False	False	False					5.0	0.40625	24.375
0	67108864	805306368	3060	-1.0	0.0	0.0625	0.75	False	False	False					5.0	0.40625	26.5
0	134217728	0	209	-1.0	0.0	0.125	0.0	False	False	False					5.0	0.7125	1.0
0	134217728	67108864	229	-1.0	0.0	0.125	0.0625	False	False	False					5.0	0.7125	3.125
0	134217728	134217728	210	-1.0	0.0	0.125	0.125	False	False	False					5.0	0.7125	5.25
0	134217728	268435456	211	-1.0	0.0	0.125	0.25	False	False	False					5.0	0.7125	9.5
0	134217728	536870912	570	-1.0	0.0	0.125	0.5	False	False	False					5.0	0.7125	18.0
0	134217728	603979776	1107	-1.0	0.0	0.125	0.5625	False	False	False					5.0	0.7125	20.125
0	134217728	671088640	571	-1.0	0.0	0.125	0.625	False	False	False					5.0	0.7125	22.25
0	134217728	738197504	1474	-1.0	0.0	0.125	0.6875	False	False	False					5.0	0.7125	24.375
0	134217728	771751936	2382	-1.0	0.0	0.125	0.71875	False	False	False					5.0	0.7125	25.4375
0	134217728	805306368	572	-1.0	0.0	0.125	0.75	False	False	False					5.0	0.7125	26.5
0	134217728	939524096	1704	-1.0	0.0	0.125	0.875	False	False	False					5.0	0.7125	30.75
0	134217728	1006632960	2530	-1.0	0.0	0.125	0.9375	False	False	False					5.0	0.7125	32.875
0	134217728	1073741824	1705	-1.0	0.0	0.125	1.0	False	False	False					5.0	0.7125	35.0
0	167772160	738197504	2383	-1.0	0.0	0.15625	0.6875	False	False	False					5.0	0.865625	24.375
0	167772160	771751936	2384	-1.0	0.0	0.15625	0.71875	False	False	False					5.0	0.865625	25.4375
0	167772160	805306368	2385	-1.0	0.0	0.15625	0.75	False	False	False					5.0	0.865625	26.5
0	201326592	0	230	-1.0	0.0	0.1875	0.0	False	False	False					5.0	1.01875	1.0
0	201326592	67108864	231	-1.0	0.0	0.1875	0.0625	False	False	False					5.0	1.01875	3.125
0	201326592	134217728	232	-1.0	0.0	0.1875	0.125	False	False	False					5.0	1.01875	5.25
0	201326592	536870912	1108	-1.0	0.0	0.1875	0.5	False	False	False					5.0	1.01875	18.0
0	201326592	603979776	1109	-1.0	0.0	0.1875	0.5625	False	False	False					5.0	1.01875	20.125
0	201326592	637534208	2028	-1.0	0.0	0.1875	0.59375	False	False	False					5.0	1.01875	21.1875
0	201326592	671088640	1110	-1.0	0.0	0.1875	0.625	False	False	False					5.0	1.01875	22.25
0	201326592	704643072	2243	-1.0	0.0	0.1875	0.65625	False	False	False					5.0	1.01875	23.3125
0	201326592	738197504	1475	-1.0	0.0	0.1875	0.6875	False	False	False					5.0	1.01875	24.375
0	201326592	771751936	2386	-1.0	0.0	0.1875	0.71875	False	False	False					5.0	1.01875	25.4375
0	201326592	805306368	1476	-1.0	0.0	0.1875	0.75	False	False	False					5.0	1.01875	26.5
0	201326592	939524096	2531	-1.0	0.0	0.1875	0.875	False	False	False					5.0	1.01875	30.75
0	201326592	1006632960	2532	-1.0	0.0	0.1875	0.9375	False	False	False					5.0	1.01875	32.875
0	201326592	1073741824	2533	-1.0	0.0	0.1875	1.0	False	False	False					5.0	1.01875	35.0
0	234881024	603979776	2029	-1.0	0.0	0.21875	0.5625	False	False	False					5.0	1.171875	20.125
0	234881024	637534208	2030	-1.0	0.0	0.21875	0.59375	False	False	False					5.0	1.171875	21.1875
