sequence	Year	Adopters	NonAdopters	Potential Adopters
3150	2015.0	0.0	100000.0	0.0
3150	2017.5	250.0	99541.1	458.916
3150	2020.0	500.0	98450.2	1549.84
3150	2022.5	750.0	96751.1	3248.93
3150	2025.0	1000.0	94478.7	5521.27
3150	2027.5	1250.0	91677.9	8322.12
3150	2030.0	1500.0	88401.7	11598.3
3150	2032.5	1750.0	84710.2	15289.8
3150	2035.0	2036.89	80660.3	19302.8
3150	2037.5	3258.72	75621.8	23369.5
3150	2040.0	7000.93	66849.7	28649.4
3150	2042.5	14792.2	51308.5	36649.3
3150	2045.0	28077.6	30326.5	44595.9
3150	2047.5	48193.4	11815.4	43241.2
3150	2050.0	76345.7	2511.12	24643.2
3149	2015.0	0.0	100000.0	0.0
3149	2017.5	250.0	99501.8	498.20099999999996
3149	2020.0	500.0	98318.3	1681.72
3149	2022.5	750.0	96477.2	3522.79
3149	2025.0	1000.0	94019.3	5980.69
3149	2027.5	1250.0	90996.7	9003.26
3149	2030.0	1500.0	87471.3	12528.7
3149	2032.5	1750.0	83512.3	16487.7
3149	2035.0	2000.0	79194.4	20805.6
3149	2037.5	2661.2	74375.5	25213.3
3149	2040.0	5331.93	67029.3	30138.8
3149	2042.5	11698.0	53632.5	37419.5
3149	2045.0	23360.5	33702.0	45937.4
3149	2047.5	41806.0	14097.1	47346.9
3149	2050.0	68379.3	3194.73	31926.0
3148	2015.0	0.0	100000.0	0.0
3148	2017.5	250.0	99501.8	498.20099999999996
3148	2020.0	500.0	98318.3	1681.72
3148	2022.5	750.0	96477.2	3522.79
3148	2025.0	1000.0	94019.3	5980.69
3148	2027.5	1250.0	90996.7	9003.26
3148	2030.0	1500.0	87471.3	12528.7
3148	2032.5	1750.0	83512.3	16487.7
3148	2035.0	2040.06	79185.2	20774.7
3148	2037.5	3345.06	73764.3	25140.6
3148	2040.0	7384.52	64150.6	30964.9
3148	2042.5	15811.9	47260.7	39677.3
3148	2045.0	30183.3	25610.4	47206.3
3148	2047.5	51927.8	8500.74	42821.5
3148	2050.0	82323.3	1383.25	19793.5
3147	2015.0	0.0	100000.0	0.0
3147	2017.5	250.0	99501.8	498.20099999999996
3147	2020.0	500.0	98318.3	1681.72
3147	2022.5	750.0	96477.2	3522.79
3147	2025.0	1000.0	94019.3	5980.69
3147	2027.5	1250.0	90996.7	9003.26
3147	2030.0	1500.0	87471.3	12528.7
3147	2032.5	1750.0	83512.3	16487.7
3147	2035.0	2263.47	79067.2	20669.3
3147	2037.5	4523.64	72382.3	25344.1
3147	2040.0	10230.9	59680.3	32588.8
3147	2042.5	21001.1	39454.1	42294.8
3147	2045.0	38339.7	17831.2	46829.2
3147	2047.5	63614.2	4509.05	35126.7
3147	2050.0	98032.1	502.23800000000006	4965.64
3146	2015.0	0.0	100000.0	0.0
3146	2017.5	250.0	99455.2	544.841
3146	2020.0	500.0	98161.9	1838.14
3146	2022.5	750.0	96152.9	3847.06
3146	2025.0	1000.0	93476.5	6523.46
3146	2027.5	1250.0	90194.3	9805.73
3146	2030.0	1500.0	86378.8	13621.2
3146	2032.5	1750.0	82111.4	17888.6
