"k","u","n","Tn"
"split on x1",0.143,0,136.620143023216
"split on x1",0.143,1,1.36720899771676
"split on x1",0.143,2,1.69109091299277
"split on x1",0.143,3,1.77231783763181
"split on x1",0.143,4,136.762051275085
"split on x1",0.143,5,133.268718636039
"split on x1",0.143,6,127.178134054419
"split on x1",0.143,7,2.6082199522515
"split on x1",0.143,8,23.4074070922175
"split on x1",0.143,9,132.312838786667
"split on x1",0.143,10,2.11697791847363
"split on x1",0.143,11,21.4003769452207
"split on x1",0.143,12,1.41920969413131
"split on x1",0.143,13,0.981348218938166
"split on x1",0.143,14,3.54394578879458
"split on x1",0.143,15,2.15822703526997
"split on x2",0.143,0,122.82421958578
"split on x2",0.143,1,112.642425538263
"split on x2",0.143,2,118.471865518372
"split on x2",0.143,3,123.219233820431
"split on x2",0.143,4,119.75813751127
"split on x2",0.143,5,117.147933811941
"split on x2",0.143,6,117.912029644657
"split on x2",0.143,7,114.021030222387
"split on x2",0.143,8,121.561808035695
"split on x2",0.143,9,120.514833484961
"split on x2",0.143,10,122.263643263123
"split on x2",0.143,11,117.887541321363
"split on x2",0.143,12,119.623270091222
"split on x2",0.143,13,57.4183941913736
"split on x2",0.143,14,112.949115107737
"split on x2",0.143,15,114.49163340441
"split on x3",0.143,0,14.9364226242191
"split on x3",0.143,1,20.6972221931342
"split on x3",0.143,2,14.4211246857905
"split on x3",0.143,3,37.4946172271377
"split on x3",0.143,4,18.3030447408698
"split on x3",0.143,5,15.3880060130873
"split on x3",0.143,6,16.4951113931052
"split on x3",0.143,7,11.9248274597248
"split on x3",0.143,8,15.9887998242409
"split on x3",0.143,9,13.6917722047541
"split on x3",0.143,10,16.1245308789664
"split on x3",0.143,11,18.8094829209565
"split on x3",0.143,12,14.5266086939918
"split on x3",0.143,13,20.5899871512339
"split on x3",0.143,14,13.6270302632408
"split on x3",0.143,15,19.8622498208094
"split on x1",0.286,0,137.798518237542
"split on x1",0.286,1,1.94325111166822
"split on x1",0.286,2,2.22658532456998
"split on x1",0.286,3,129.603519824941
"split on x1",0.286,4,3.43254289979523
"split on x1",0.286,5,131.047198802495
"split on x1",0.286,6,128.229927219467
"split on x1",0.286,7,128.831270911773
"split on x1",0.286,8,1.71748672850454
"split on x1",0.286,9,133.429430017236
"split on x1",0.286,10,1.03127099371304
"split on x1",0.286,11,1.82050363671439
"split on x1",0.286,12,4.96673092799668
"split on x1",0.286,13,2.94214845415806
"split on x1",0.286,14,1.03562129212969
"split on x1",0.286,15,127.75693745198
"split on x2",0.286,0,111.35366044595
"split on x2",0.286,1,108.019629066051
"split on x2",0.286,2,105.227471847951
"split on x2",0.286,3,101.303535488491
"split on x2",0.286,4,109.94013780024
"split on x2",0.286,5,104.280326760704
"split on x2",0.286,6,101.47039934197
"split on x2",0.286,7,102.604823839747
"split on x2",0.286,8,118.225562890082
"split on x2",0.286,9,103.910363031747
"split on x2",0.286,10,100.187470908197
"split on x2",0.286,11,106.790185257846
"split on x2",0.286,12,102.939803138336
"split on x2",0.286,13,105.364686064771
"split on x2",0.286,14,106.530218486668
"split on x2",0.286,15,100.925915534304
"split on x3",0.286,0,26.1188565032967
"split on x3",0.286,1,34.1100529074861
"split on x3",0.286,2,28.4041240789397
"split on x3",0.286,3,24.1876306924352
"split on x3",0.286,4,27.1552778149107
"split on x3",0.286,5,25.1036628930393
"split on x3",0.286,6,27.3633968525362
"split on x3",0.286,7,45.6349363328337
"split on x3",0.286,8,25.6275659529899
"split on x3",0.286,9,29.6342702857368
"split on x3",0.286,10,26.4020980872782
"split on x3",0.286,11,31.0886696201997
