"case","x1","x2","x3"
1,0,0,0
2,0.1,0,0
3,0.2,0,0
4,0.3,0,0
5,0.4,0,0
6,0.5,0,0
7,0.6,0,0
8,0.7,0,0
9,0.8,0,0
10,0.9,0,0
11,1,0,0
12,0,0.1,0
13,0.1,0.1,0
14,0.2,0.1,0
15,0.3,0.1,0
16,0.4,0.1,0
17,0.5,0.1,0
18,0.6,0.1,0
19,0.7,0.1,0
20,0.8,0.1,0
21,0.9,0.1,0
22,1,0.1,0
23,0,0.2,0
24,0.1,0.2,0
25,0.2,0.2,0
26,0.3,0.2,0
27,0.4,0.2,0
28,0.5,0.2,0
29,0.6,0.2,0
30,0.7,0.2,0
31,0.8,0.2,0
32,0.9,0.2,0
33,1,0.2,0
34,0,0.3,0
35,0.1,0.3,0
36,0.2,0.3,0
37,0.3,0.3,0
38,0.4,0.3,0
39,0.5,0.3,0
40,0.6,0.3,0
41,0.7,0.3,0
42,0.8,0.3,0
43,0.9,0.3,0
44,1,0.3,0
45,0,0.4,0
46,0.1,0.4,0
47,0.2,0.4,0
48,0.3,0.4,0
49,0.4,0.4,0
50,0.5,0.4,0
51,0.6,0.4,0
52,0.7,0.4,0
53,0.8,0.4,0
54,0.9,0.4,0
55,1,0.4,0
56,0,0.5,0
57,0.1,0.5,0
58,0.2,0.5,0
59,0.3,0.5,0
60,0.4,0.5,0
61,0.5,0.5,0
62,0.6,0.5,0
63,0.7,0.5,0
64,0.8,0.5,0
65,0.9,0.5,0
66,1,0.5,0
67,0,0.6,0
68,0.1,0.6,0
69,0.2,0.6,0
70,0.3,0.6,0
71,0.4,0.6,0
72,0.5,0.6,0
73,0.6,0.6,0
74,0.7,0.6,0
75,0.8,0.6,0
76,0.9,0.6,0
77,1,0.6,0
78,0,0.7,0
79,0.1,0.7,0
80,0.2,0.7,0
81,0.3,0.7,0
82,0.4,0.7,0
83,0.5,0.7,0
84,0.6,0.7,0
85,0.7,0.7,0
86,0.8,0.7,0
87,0.9,0.7,0
88,1,0.7,0
89,0,0.8,0
90,0.1,0.8,0
91,0.2,0.8,0
92,0.3,0.8,0
93,0.4,0.8,0
94,0.5,0.8,0
95,0.6,0.8,0
96,0.7,0.8,0
97,0.8,0.8,0
98,0.9,0.8,0
99,1,0.8,0
100,0,0.9,0
101,0.1,0.9,0
102,0.2,0.9,0
103,0.3,0.9,0
104,0.4,0.9,0
105,0.5,0.9,0
106,0.6,0.9,0
107,0.7,0.9,0
108,0.8,0.9,0
109,0.9,0.9,0
110,1,0.9,0
111,0,1,0
112,0.1,1,0
113,0.2,1,0
114,0.3,1,0
115,0.4,1,0
116,0.5,1,0
117,0.6,1,0
118,0.7,1,0
119,0.8,1,0
120,0.9,1,0
121,1,1,0
122,0,0,0.1
123,0.1,0,0.1
124,0.2,0,0.1
125,0.3,0,0.1
126,0.4,0,0.1
127,0.5,0,0.1
128,0.6,0,0.1
129,0.7,0,0.1
130,0.8,0,0.1
131,0.9,0,0.1
132,1,0,0.1
133,0,0.1,0.1
134,0.1,0.1,0.1
135,0.2,0.1,0.1
136,0.3,0.1,0.1
137,0.4,0.1,0.1
138,0.5,0.1,0.1
139,0.6,0.1,0.1
140,0.7,0.1,0.1
141,0.8,0.1,0.1
142,0.9,0.1,0.1
143,1,0.1,0.1
144,0,0.2,0.1
145,0.1,0.2,0.1
146,0.2,0.2,0.1
147,0.3,0.2,0.1
148,0.4,0.2,0.1
149,0.5,0.2,0.1
150,0.6,0.2,0.1
151,0.7,0.2,0.1
152,0.8,0.2,0.1
153,0.9,0.2,0.1
154,1,0.2,0.1
155,0,0.3,0.1
156,0.1,0.3,0.1
157,0.2,0.3,0.1
158,0.3,0.3,0.1
159,0.4,0.3,0.1
160,0.5,0.3,0.1
161,0.6,0.3,0.1
162,0.7,0.3,0.1
163,0.8,0.3,0.1
164,0.9,0.3,0.1
165,1,0.3,0.1
166,0,0.4,0.1
167,0.1,0.4,0.1
168,0.2,0.4,0.1
169,0.3,0.4,0.1
170,0.4,0.4,0.1
171,0.5,0.4,0.1
172,0.6,0.4,0.1
173,0.7,0.4,0.1
174,0.8,0.4,0.1
175,0.9,0.4,0.1
176,1,0.4,0.1
177,0,0.5,0.1
178,0.1,0.5,0.1
179,0.2,0.5,0.1
180,0.3,0.5,0.1
181,0.4,0.5,0.1
182,0.5,0.5,0.1
183,0.6,0.5,0.1
184,0.7,0.5,0.1
185,0.8,0.5,0.1
186,0.9,0.5,0.1
187,1,0.5,0.1
188,0,0.6,0.1
189,0.1,0.6,0.1
190,0.2,0.6,0.1
191,0.3,0.6,0.1
192,0.4,0.6,0.1
193,0.5,0.6,0.1
194,0.6,0.6,0.1
195,0.7,0.6,0.1
196,0.8,0.6,0.1
197,0.9,0.6,0.1
198,1,0.6,0.1
199,0,0.7,0.1
200,0.1,0.7,0.1
201,0.2,0.7,0.1
202,0.3,0.7,0.1
203,0.4,0.7,0.1
204,0.5,0.7,0.1
205,0.6,0.7,0.1
206,0.7,0.7,0.1
207,0.8,0.7,0.1
208,0.9,0.7,0.1
209,1,0.7,0.1
210,0,0.8,0.1
211,0.1,0.8,0.1
212,0.2,0.8,0.1
213,0.3,0.8,0.1
214,0.4,0.8,0.1
215,0.5,0.8,0.1
216,0.6,0.8,0.1
217,0.7,0.8,0.1
218,0.8,0.8,0.1
219,0.9,0.8,0.1
220,1,0.8,0.1
221,0,0.9,0.1
222,0.1,0.9,0.1
223,0.2,0.9,0.1
224,0.3,0.9,0.1
225,0.4,0.9,0.1
226,0.5,0.9,0.1
227,0.6,0.9,0.1
228,0.7,0.9,0.1
229,0.8,0.9,0.1
230,0.9,0.9,0.1
231,1,0.9,0.1
232,0,1,0.1
233,0.1,1,0.1
234,0.2,1,0.1
235,0.3,1,0.1
236,0.4,1,0.1
237,0.5,1,0.1
238,0.6,1,0.1
239,0.7,1,0.1
240,0.8,1,0.1
241,0.9,1,0.1
242,1,1,0.1
243,0,0,0.2
244,0.1,0,0.2
245,0.2,0,0.2
246,0.3,0,0.2
247,0.4,0,0.2
248,0.5,0,0.2
249,0.6,0,0.2
250,0.7,0,0.2
251,0.8,0,0.2
252,0.9,0,0.2
253,1,0,0.2
254,0,0.1,0.2
255,0.1,0.1,0.2
256,0.2,0.1,0.2
257,0.3,0.1,0.2
258,0.4,0.1,0.2
259,0.5,0.1,0.2
260,0.6,0.1,0.2
261,0.7,0.1,0.2
262,0.8,0.1,0.2
263,0.9,0.1,0.2
264,1,0.1,0.2
265,0,0.2,0.2
266,0.1,0.2,0.2
267,0.2,0.2,0.2
268,0.3,0.2,0.2
269,0.4,0.2,0.2
270,0.5,0.2,0.2
271,0.6,0.2,0.2
272,0.7,0.2,0.2
273,0.8,0.2,0.2
274,0.9,0.2,0.2
275,1,0.2,0.2
276,0,0.3,0.2
277,0.1,0.3,0.2
278,0.2,0.3,0.2
279,0.3,0.3,0.2
280,0.4,0.3,0.2
281,0.5,0.3,0.2
282,0.6,0.3,0.2
283,0.7,0.3,0.2
284,0.8,0.3,0.2
285,0.9,0.3,0.2
286,1,0.3,0.2
287,0,0.4,0.2
288,0.1,0.4,0.2
289,0.2,0.4,0.2
290,0.3,0.4,0.2
291,0.4,0.4,0.2
292,0.5,0.4,0.2
293,0.6,0.4,0.2
294,0.7,0.4,0.2
295,0.8,0.4,0.2
296,0.9,0.4,0.2
297,1,0.4,0.2
298,0,0.5,0.2
299,0.1,0.5,0.2
300,0.2,0.5,0.2
301,0.3,0.5,0.2
302,0.4,0.5,0.2
303,0.5,0.5,0.2
