"sequence","generation","i1","i2","i3","x1","x2","x3","compute","measure","probed","s1","s2","s3","s"
1,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,0,0,0,0
10,NA,0,0,536870912,0,0,0.5,FALSE,FALSE,FALSE,NA,NA,NA,NA
2,0,0,0,1073741824,0,0,1,FALSE,FALSE,TRUE,0,0,0,0
11,NA,0,536870912,0,0,0.5,0,FALSE,FALSE,FALSE,NA,NA,NA,NA
12,NA,0,536870912,536870912,0,0.5,0.5,FALSE,FALSE,FALSE,NA,NA,NA,NA
13,NA,0,536870912,1073741824,0,0.5,1,FALSE,FALSE,FALSE,NA,NA,NA,NA
3,0,0,1073741824,0,0,1,0,FALSE,FALSE,TRUE,0,0,0,0
14,NA,0,1073741824,536870912,0,1,0.5,FALSE,FALSE,FALSE,NA,NA,NA,NA
4,0,0,1073741824,1073741824,0,1,1,FALSE,FALSE,TRUE,0,0,0,0
28,2,268435456,268435456,268435456,0.25,0.25,0.25,FALSE,FALSE,FALSE,0,0,0,0
29,2,268435456,268435456,805306368,0.25,0.25,0.75,FALSE,FALSE,FALSE,0,0,0,0
30,2,268435456,805306368,268435456,0.25,0.75,0.25,FALSE,FALSE,FALSE,0.0147278870319995,0.00391168167155901,0.00320349025107273,0.00701634411506905
31,2,268435456,805306368,805306368,0.25,0.75,0.75,FALSE,FALSE,FALSE,0.0527058040201782,0.0137681146433734,0.0106259593829546,0.025108968928366
15,NA,536870912,0,0,0.5,0,0,FALSE,FALSE,FALSE,NA,NA,NA,NA
16,NA,536870912,0,536870912,0.5,0,0.5,FALSE,FALSE,FALSE,NA,NA,NA,NA
36,NA,536870912,0,805306368,0.5,0,0.75,FALSE,FALSE,FALSE,NA,NA,NA,NA
2368,NA,536870912,0,872415232,0.5,0,0.8125,FALSE,FALSE,FALSE,NA,NA,NA,NA
5293,NA,536870912,0,905969664,0.5,0,0.84375,FALSE,FALSE,FALSE,NA,NA,NA,NA
62,NA,536870912,0,939524096,0.5,0,0.875,FALSE,FALSE,FALSE,NA,NA,NA,NA
17,NA,536870912,0,1073741824,0.5,0,1,FALSE,FALSE,FALSE,NA,NA,NA,NA
5294,NA,536870912,33554432,872415232,0.5,0.03125,0.8125,FALSE,FALSE,FALSE,NA,NA,NA,NA
5295,NA,536870912,33554432,905969664,0.5,0.03125,0.84375,FALSE,FALSE,FALSE,NA,NA,NA,NA
5296,NA,536870912,33554432,939524096,0.5,0.03125,0.875,FALSE,FALSE,FALSE,NA,NA,NA,NA
2369,NA,536870912,67108864,805306368,0.5,0.0625,0.75,FALSE,FALSE,FALSE,NA,NA,NA,NA
2370,NA,536870912,67108864,872415232,0.5,0.0625,0.8125,FALSE,FALSE,FALSE,NA,NA,NA,NA
5297,NA,536870912,67108864,905969664,0.5,0.0625,0.84375,FALSE,FALSE,FALSE,NA,NA,NA,NA
2371,NA,536870912,67108864,939524096,0.5,0.0625,0.875,FALSE,FALSE,FALSE,NA,NA,NA,NA
63,NA,536870912,134217728,805306368,0.5,0.125,0.75,FALSE,FALSE,FALSE,NA,NA,NA,NA
482,NA,536870912,134217728,872415232,0.5,0.125,0.8125,FALSE,FALSE,FALSE,NA,NA,NA,NA
64,NA,536870912,134217728,939524096,0.5,0.125,0.875,FALSE,FALSE,FALSE,NA,NA,NA,NA
534,NA,536870912,134217728,1006632960,0.5,0.125,0.9375,FALSE,FALSE,FALSE,NA,NA,NA,NA
3166,NA,536870912,134217728,1040187392,0.5,0.125,0.96875,FALSE,FALSE,FALSE,NA,NA,NA,NA
